sid,star
981,Ricardo Darín
982,Timothy Olyphant
983,Lori Heuring
984,Michelle Rodriguez
985,Frankie Muniz
986,Huey Lewis
987,Christine Cavanaugh
988,Takeshi Kitano
989,Minnie Driver
990,Chris Klein
991,Jim Cummings
992,Garry Shandling
993,Heather Graham
994,Lara Jill Miller
995,Daniel Radcliffe
996,Vin Diesel
997,Naomi Watts
998,Daveigh Chase
999,Chyler Leigh
1000,Josh Hartnett
1001,Audrey Tautou
1002,Haley Joel Osment
1003,Jay Chandrasekhar
1004,Janeane Garofalo
1005,Jack Black
1006,Gina Philips
1007,Alexa PenaVega
1008,Angelina Jolie
1009,Julia Stiles
1010,Method Man
1011,Steve Zahn
1012,Kane Hodder
1013,Jason Mewes
1014,Samuel Le Bihan
1015,Flex Alexander
1016,John Cameron Mitchell
1017,Alexsandra Wright
1018,Tom Green
1019,Hayden Christensen
1020,Tadanobu Asano
1021,Shannon Elizabeth
1022,Tom Wilkinson
1023,Rachael Leigh Cook
1024,Marisa Paredes
1025,Stephen Chow
1026,Debi Derryberry
1027,Denise Richards
1028,Marla Sokoloff
1029,Ryan Gosling
1030,Judi Dench
1031,Shah Rukh Khan
1032,Justin Chambers
1033,Mekhi Phifer
1034,Liv Tyler
1035,Melissa Sagemiller
1036,Jennifer Westfeldt
1037,Brian Cox
1038,Dr. Dre
1039,Snoop Dogg
1040,Monica Potter
1041,Mariah Carey
1042,Vivica A. Fox
1043,Shane Brolly
1044,Toshio Furukawa
1045,Catherine Keener
1046,Andrew Lawrence
1047,Christopher Gorham
1048,Greg Stebner
1049,Eminem
1050,Adrien Brody
1051,Cillian Murphy
1052,Franka Potente
1053,Matthew Lillard
1054,Mandy Moore
1055,Joseph Gordon-Levitt
1056,Nia Vardalos
1057,Dwayne Johnson
1058,Jason Statham
1059,Kate Bosworth
1060,Julianna Margulies
1061,Ryan Reynolds
1062,Salma Hayek
1063,Steve Oedekerk
1064,Aaliyah
1065,Rebecca Romijn
1066,Jordan Ladd
1067,DJ Qualls
1068,Colin Hanks
1069,Britney Spears
1070,Andy Lau
